lfs_series,sa4,year,sex,ue_pc
Unemployment rate,Adelaide - Central and Hills,1998,Persons,6.2966958
Unemployment rate,Adelaide - Central and Hills,1999,Persons,5.639438875
Unemployment rate,Adelaide - Central and Hills,2000,Persons,5.814953542
Unemployment rate,Adelaide - Central and Hills,2001,Persons,5.36595745
Unemployment rate,Adelaide - Central and Hills,2002,Persons,5.713408067
Unemployment rate,Adelaide - Central and Hills,2003,Persons,3.978396758
Unemployment rate,Adelaide - Central and Hills,2004,Persons,3.50190125
Unemployment rate,Adelaide - Central and Hills,2005,Persons,3.932402325
Unemployment rate,Adelaide - Central and Hills,2006,Persons,3.329753825
Unemployment rate,Adelaide - Central and Hills,2007,Persons,3.754061092
Unemployment rate,Adelaide - Central and Hills,2008,Persons,3.456838875
Unemployment rate,Adelaide - Central and Hills,2009,Persons,4.9863836
Unemployment rate,Adelaide - Central and Hills,2010,Persons,3.805699667
Unemployment rate,Adelaide - Central and Hills,2011,Persons,4.466958375
Unemployment rate,Adelaide - Central and Hills,2012,Persons,4.077205458
Unemployment rate,Adelaide - Central and Hills,2013,Persons,4.965062125
Unemployment rate,Adelaide - Central and Hills,2014,Persons,4.505162742
Unemployment rate,Adelaide - Central and Hills,2015,Persons,5.864319175
Unemployment rate,Adelaide - Central and Hills,2016,Persons,6.025855425
Unemployment rate,Adelaide - Central and Hills,2017,Persons,4.488530958
Unemployment rate,Adelaide - Central and Hills,2018,Persons,4.164341675
Unemployment rate,Adelaide - North,1998,Persons,11.30295803
Unemployment rate,Adelaide - North,1999,Persons,9.483734692
Unemployment rate,Adelaide - North,2000,Persons,8.996752875
Unemployment rate,Adelaide - North,2001,Persons,8.9138374
Unemployment rate,Adelaide - North,2002,Persons,7.536543217
Unemployment rate,Adelaide - North,2003,Persons,7.921901375
Unemployment rate,Adelaide - North,2004,Persons,7.876743033
Unemployment rate,Adelaide - North,2005,Persons,6.176282017
Unemployment rate,Adelaide - North,2006,Persons,6.409010075
Unemployment rate,Adelaide - North,2007,Persons,6.705288608
Unemployment rate,Adelaide - North,2008,Persons,6.051712633
Unemployment rate,Adelaide - North,2009,Persons,7.838976592
Unemployment rate,Adelaide - North,2010,Persons,7.226971242
Unemployment rate,Adelaide - North,2011,Persons,7.780785292
Unemployment rate,Adelaide - North,2012,Persons,7.634915133
Unemployment rate,Adelaide - North,2013,Persons,8.1770995
Unemployment rate,Adelaide - North,2014,Persons,8.382255058
Unemployment rate,Adelaide - North,2015,Persons,8.639496442
Unemployment rate,Adelaide - North,2016,Persons,8.594602383
Unemployment rate,Adelaide - North,2017,Persons,7.7351747
Unemployment rate,Adelaide - North,2018,Persons,7.263949217
Unemployment rate,Adelaide - South,1998,Persons,6.291395567
Unemployment rate,Adelaide - South,1999,Persons,6.678358183
Unemployment rate,Adelaide - South,2000,Persons,6.585290842
Unemployment rate,Adelaide - South,2001,Persons,6.6411707
Unemployment rate,Adelaide - South,2002,Persons,5.84518035
Unemployment rate,Adelaide - South,2003,Persons,5.559793158
Unemployment rate,Adelaide - South,2004,Persons,5.981785467
Unemployment rate,Adelaide - South,2005,Persons,5.830136692
Unemployment rate,Adelaide - South,2006,Persons,5.140509492
Unemployment rate,Adelaide - South,2007,Persons,4.756218617
Unemployment rate,Adelaide - South,2008,Persons,4.720022592
Unemployment rate,Adelaide - South,2009,Persons,4.226858167
Unemployment rate,Adelaide - South,2010,Persons,5.210748058
Unemployment rate,Adelaide - South,2011,Persons,4.361670575
Unemployment rate,Adelaide - South,2012,Persons,5.224119517
Unemployment rate,Adelaide - South,2013,Persons,5.505189742
Unemployment rate,Adelaide - South,2014,Persons,6.5790692
Unemployment rate,Adelaide - South,2015,Persons,7.3199944
Unemployment rate,Adelaide - South,2016,Persons,6.680608842
Unemployment rate,Adelaide - South,2017,Persons,6.321738475
Unemployment rate,Adelaide - South,2018,Persons,5.949181758
Unemployment rate,Adelaide - West,1998,Persons,9.9370175
Unemployment rate,Adelaide - West,1999,Persons,9.7932181
Unemployment rate,Adelaide - West,2000,Persons,9.336372367
Unemployment rate,Adelaide - West,2001,Persons,8.059736308
Unemployment rate,Adelaide - West,2002,Persons,8.064131867
Unemployment rate,Adelaide - West,2003,Persons,7.1606047
Unemployment rate,Adelaide - West,2004,Persons,6.460625642
Unemployment rate,Adelaide - West,2005,Persons,6.017464775
Unemployment rate,Adelaide - West,2006,Persons,5.361848317
Unemployment rate,Adelaide - West,2007,Persons,5.088721708
Unemployment rate,Adelaide - West,2008,Persons,5.549410142
Unemployment rate,Adelaide - West,2009,Persons,6.769133925
Unemployment rate,Adelaide - West,2010,Persons,4.503249642
Unemployment rate,Adelaide - West,2011,Persons,4.585163442
Unemployment rate,Adelaide - West,2012,Persons,4.28169305
Unemployment rate,Adelaide - West,2013,Persons,6.30515495
